S.No,"PID-1,procnto-smp-instr","PID-16386,bmetrics_service","PID-12291,slogger2","PID-774148,surfaceflinger","PID-32773,smmu_service","PID-20486,devc-quipv3","PID-20487,secpolgenerate","PID-28681,qcpe_qhee","PID-28682,watchdog","PID-28683,memorydump","PID-28684,syscache_service","PID-28685,pil_service","PID-40974,spi_service","PID-733199,dlt-qnx-system","PID-32784,qcpe_service","PID-32785,qcgpio","PID-32786,qcore","PID-36883,on","PID-36884,devc-pty","PID-36885,ksh","PID-40982,i2c_service","PID-40983,slm","PID-40984,diag_service","PID-40985,pipe","PID-40986,fastrpc","PID-40987,io-pkt-v6-hc","PID-40988,hab","PID-40989,wfd_server","PID-40990,openwfd_telltale","PID-40991,wfd_be","PID-40992,screen","PID-40993,ssplash","PID-40994,kgsl","PID-40995,gsl_hab_server","PID-778276,systemui","PID-40997,mq","PID-40998,audio_service","PID-778279,settings","PID-41000,videoCore","PID-778281,kitchensink","PID-41002,hyp_video_be","PID-41003,devb-ufs-qualcomm","PID-778284,hvac","PID-41005,slm","PID-53294,vmf","PID-430127,io-audio","PID-53296,res_mon","PID-167985,qseecom_daemon","PID-61490,random","PID-127027,qseecom_service","PID-200756,km_be","PID-225333,qvb_service","PID-254006,vmm_service","PID-323639,pps","PID-254008,diag_lsm_serversocket","PID-274489,vmm_lifecycle","PID-282682,qvm","PID-626747,dumper","PID-352316,ssr_service","PID-380989,cdsp_service","PID-401470,prng_service","PID-380991,life_cycle_man_demo","PID-401472,fde_be","PID-778305,carlauncher","PID-438338,npu_service","PID-467011,dlt-daemon","PID-512068,qconn","PID-782405,mapsplaceholder","PID-507974,inetd","PID-491591,syslogd","PID-680008,on","PID-524361,io_service","PID-581706,vm_ssr_be","PID-581708,dcvs_service","PID-688205,tool_policy_manager","PID-794632,slog2info"
0,773.1,0.0,0.2,0.0,0.16,0.58,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.01,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.37,0.02,0.13,0.01,0.0,0.01,0.0,0.47,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.01,0.0,0.33,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,23.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.16
1,771.46,0.0,0.19,0.0,0.17,0.6,0.03,0.0,0.0,0.51,0.0,0.0,0.0,1.04,0.01,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.33,0.02,0.08,0.01,0.0,0.01,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.76,0.0,0.0,0.01,0.0,0.36,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,20.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.2
2,773.96,0.0,0.19,0.0,0.16,0.59,0.05,0.0,0.0,0.63,0.0,0.0,0.0,1.08,0.01,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.38,0.02,0.06,0.01,0.0,0.01,0.0,0.46,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.01,0.0,0.32,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.18
3,768.28,0.0,0.21,0.0,0.13,0.51,0.03,0.0,0.0,0.63,0.0,0.0,0.0,1.04,0.01,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.33,0.02,0.07,0.01,0.0,0.01,0.0,0.43,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.01,0.0,0.33,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,21.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.19
4,772.34,0.0,0.23,0.0,0.15,0.34,0.01,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.01,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.3,0.02,0.13,0.01,0.0,0.01,0.0,0.28,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.01,0.0,0.28,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,25.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.17
5,772.61,0.0,0.2,0.0,0.18,0.43,0.02,0.0,0.0,0.34,0.0,0.0,0.0,1.05,0.01,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.33,0.01,0.07,0.01,0.0,0.01,0.0,0.53,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.71,0.0,0.0,0.01,0.0,0.36,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.21
6,767.27,0.0,0.24,0.0,0.15,0.37,0.03,0.0,0.0,0.41,0.0,0.0,0.0,1.01,0.01,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.31,0.02,0.06,0.01,0.0,0.01,0.0,0.46,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.01,0.0,0.31,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,29.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.21
7,773.15,0.0,0.2,0.0,0.17,0.41,0.03,0.0,0.0,0.46,0.0,0.0,0.0,0.98,0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.28,0.02,0.07,0.01,0.0,0.01,0.0,0.47,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.01,0.0,0.32,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,19.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.15
8,773.05,0.0,0.24,0.0,0.17,0.4,0.01,0.0,0.0,0.2,0.0,0.0,0.0,1.06,0.01,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.33,0.02,0.11,0.01,0.0,0.01,0.0,0.31,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.01,0.0,0.33,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,25.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.24
9,774.3,0.0,0.18,0.0,0.16,0.4,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.83,0.01,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.27,0.02,0.07,0.01,0.0,0.01,0.0,0.48,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.66,0.0,0.0,0.01,0.0,0.32,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.13
10,772.82,0.0,0.25,0.0,0.17,0.43,0.02,0.0,0.0,0.34,0.0,0.0,0.0,1.07,0.01,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.36,0.02,0.07,0.01,0.0,0.01,0.0,0.48,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.75,0.0,0.0,0.01,0.0,0.36,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,28.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.22
11,746.14,0.0,0.23,0.0,0.18,0.46,0.02,0.0,0.0,0.39,0.0,0.0,0.0,1.15,0.01,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.32,0.01,0.06,0.01,0.0,0.01,0.0,0.53,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.68,0.0,0.0,0.01,0.0,0.36,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,41.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.23
12,778.15,0.0,0.25,0.0,0.17,0.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.01,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.36,0.05,0.21,0.01,0.03,0.01,0.0,0.39,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.81,0.0,0.0,0.01,0.0,0.35,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,15.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.33
13,702.89,0.0,0.31,0.0,0.16,0.49,0.03,0.0,0.0,0.38,0.0,0.0,0.0,1.46,0.01,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.46,0.03,0.07,0.01,0.0,0.01,0.0,0.38,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.01,0.0,0.46,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,110.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.21
14,624.23,0.0,0.51,0.03,0.36,0.53,0.02,0.0,0.0,0.28,0.0,0.0,0.0,2.02,0.01,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.68,0.18,0.36,0.01,0.05,0.01,0.0,0.55,0.0,0.0,0.0,0.01,0,0.0,0.0,0.0,1.75,0.0,0.0,0.01,0.0,0.41,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,168.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.28
15,586.68,0.0,0.52,0.0,0.17,0.54,0.03,0.0,0.0,0.46,0.0,0.0,0.0,2.05,0.01,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.71,0.01,0.08,0.01,0.0,0.01,0.0,0.51,0.0,0.0,0.0,0.01,0,0.01,0.0,0.0,1.88,0.0,0.0,0.01,0.0,0.44,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,218.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.21
16,615.1,0.0,0.41,0.0,0.2,0.52,0.01,0.01,0.0,0.01,0.0,0.0,0.0,1.58,0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.42,0.02,0.07,0.01,0.0,0.01,0.0,0.52,0.0,0.0,0.0,0.01,0,0.01,0.0,0.0,0.89,0.0,0.0,0.01,0.0,0.45,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,144.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.19
17,763.87,0.0,0.25,0.0,0.15,0.39,0.02,0.0,0.0,0.45,0.0,0.0,0.0,1.1,0.01,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.33,0.02,0.06,0.01,0.0,0.01,0.0,0.4,0.0,0.0,0.0,0.01,0,0.0,0.0,0.0,0.8,0.0,0.0,0.01,0.0,0.31,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,28.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.22
18,773.03,0.0,0.21,0.0,0.16,0.42,0.02,0.0,0.0,0.36,0.0,0.0,0.0,1.02,0.01,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.28,0.02,0.06,0.01,0.0,0.01,0.0,0.47,0.0,0.0,0.0,0.01,0,0.01,0.0,0.0,0.66,0.0,0.0,0.01,0.0,0.33,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,21.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.22
19,769.4,0.0,0.24,0.0,0.09,0.4,0.02,0.0,0.0,0.06,0.0,0.0,0.0,1.02,0.01,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.33,0.02,0.14,0.01,0.0,0.01,0.0,0.36,0.0,0.0,0.0,0.01,0,0.01,0.0,0.0,0.71,0.0,0.0,0.01,0.0,0.36,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,26.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.21
20,772.91,0.0,0.21,0.0,0.17,0.42,0.04,0.0,0.0,0.46,0.0,0.0,0.0,1.06,0.01,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.31,0.02,0.09,0.01,0.0,0.01,0.0,0.49,0.0,0.0,0.0,0.02,0,0.01,0.0,0.0,0.74,0.0,0.0,0.01,0.0,0.35,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,21.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.15
21,770.3,0.0,0.24,0.0,0.17,0.41,0.03,0.0,0.0,0.32,0.0,0.0,0.0,1.03,0.01,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.32,0.0,0.09,0.01,0.0,0.01,0.0,0.29,0.0,0.0,0.0,0.01,0,0.01,0.0,0.0,0.64,0.0,0.0,0.01,0.0,0.32,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,24.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.21
22,773.64,0.0,0.21,0.0,0.17,0.39,0.01,0.0,0.0,0.04,0.0,0.0,0.0,1.0,0.01,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.31,0.02,0.07,0.01,0.0,0.01,0.0,0.47,0.0,0.0,0.0,0.02,0,0.01,0.0,0.0,0.75,0.0,0.0,0.01,0.0,0.34,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,21.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.2
23,769.3,0.0,0.23,0.0,0.09,0.4,0.03,0.0,0.0,0.37,0.0,0.0,0.0,1.01,0.01,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.29,0.02,0.07,0.01,0.0,0.01,0.0,0.47,0.0,0.0,0.0,0.01,0,0.01,0.0,0.0,0.58,0.0,0.0,0.01,0.0,0.33,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,26.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.23
24,773.03,0.0,0.2,0.0,0.17,0.4,0.04,0.0,0.0,0.44,0.0,0.0,0.0,0.99,0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.32,0.02,0.11,0.01,0.0,0.01,0.0,0.45,0.0,0.0,0.0,0.01,0,0.01,0.0,0.0,0.74,0.0,0.0,0.01,0.0,0.32,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,21.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.2
25,772.96,0.0,0.24,0.0,0.16,0.39,0.02,0.0,0.0,0.34,0.0,0.0,0.0,1.0,0.01,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.28,0.02,0.07,0.01,0.0,0.01,0.0,0.34,0.0,0.0,0.0,0.01,0,0.01,0.0,0.0,0.62,0.0,0.0,0.01,0.0,0.33,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.21
