S.No,"PID-1,procnto-smp-instr","PID-16386,bmetrics_service","PID-12291,slogger2","PID-774148,surfaceflinger","PID-32773,smmu_service","PID-20486,devc-quipv3","PID-20487,secpolgenerate","PID-28681,qcpe_qhee","PID-28682,watchdog","PID-28683,memorydump","PID-28684,syscache_service","PID-28685,pil_service","PID-40974,spi_service","PID-733199,dlt-qnx-system","PID-32784,qcpe_service","PID-32785,qcgpio","PID-32786,qcore","PID-36883,on","PID-36884,devc-pty","PID-36885,ksh","PID-40982,i2c_service","PID-40983,slm","PID-40984,diag_service","PID-40985,pipe","PID-40986,fastrpc","PID-40987,io-pkt-v6-hc","PID-40988,hab","PID-40989,wfd_server","PID-40990,openwfd_telltale","PID-40991,wfd_be","PID-40992,screen","PID-40993,ssplash","PID-40994,kgsl","PID-40995,gsl_hab_server","PID-778276,systemui","PID-40997,mq","PID-40998,audio_service","PID-778279,settings","PID-41000,videoCore","PID-778281,kitchensink","PID-41002,hyp_video_be","PID-41003,devb-ufs-qualcomm","PID-778284,hvac","PID-41005,slm","PID-53294,vmf","PID-430127,io-audio","PID-53296,res_mon","PID-167985,qseecom_daemon","PID-61490,random","PID-127027,qseecom_service","PID-200756,km_be","PID-225333,qvb_service","PID-254006,vmm_service","PID-323639,pps","PID-254008,diag_lsm_serversocket","PID-274489,vmm_lifecycle","PID-282682,qvm","PID-626747,dumper","PID-352316,ssr_service","PID-380989,cdsp_service","PID-401470,prng_service","PID-380991,life_cycle_man_demo","PID-401472,fde_be","PID-778305,carlauncher","PID-438338,npu_service","PID-467011,dlt-daemon","PID-512068,qconn","PID-782405,mapsplaceholder","PID-507974,inetd","PID-491591,syslogd","PID-680008,on","PID-524361,io_service","PID-581706,vm_ssr_be","PID-581708,dcvs_service","PID-688205,tool_policy_manager","PID-794632,slog2info"
0,856008,1044480,8953856,2789376,10027008,1372160,4497408,298754048,3051520,53116928,9895936,20074496,3010560,15278080,10063872,19910656,233439232,1019904,1277952,1273856,2592768,1466368,21983232,1060864,5726208,7544832,37765120,10141696,2338816,2494464,81547264,1708032,119554048,2707456,2789376,1003520,31543296,2785280,26341376,2789376,3571712,71413760,2781184,1470464,1658880,3518464,3043328,5951488,1519616,4952064,2314240,3719168,44601344,1650688,1548288,1363968,807862272,1183744,1138688,5824512,3125248,1290240,2134016,2822144,3522560,9723904,1572864,2785280,1363968,1343488,1019904,85393408,1200128,2232320,3088384,1318912
1,856008,1044480,9023488,2789376,10027008,1372160,4497408,298754048,3051520,53116928,9895936,20074496,3010560,15278080,10063872,19910656,233439232,1019904,1277952,1273856,2592768,1466368,21983232,1060864,5726208,7544832,37765120,10141696,2338816,2494464,81547264,1708032,119554048,2707456,2789376,1003520,31543296,2785280,26341376,2789376,3571712,71409664,2781184,1470464,1658880,3518464,3043328,5951488,1519616,4952064,2314240,3719168,44601344,1650688,1548288,1363968,807862272,1183744,1138688,5824512,3125248,1290240,2134016,2822144,3522560,9723904,1572864,2785280,1363968,1343488,1019904,85393408,1200128,2232320,3088384,1318912
2,856008,1044480,9023488,2789376,10027008,1372160,4497408,298754048,3051520,53116928,9895936,20074496,3010560,15278080,10063872,19910656,233439232,1019904,1277952,1273856,2592768,1466368,21983232,1060864,5726208,7544832,37765120,10141696,2338816,2494464,81547264,1708032,119554048,2707456,2789376,1003520,31543296,2785280,26341376,2789376,3571712,71405568,2781184,1470464,1658880,3518464,3043328,5951488,1519616,4952064,2314240,3719168,44601344,1650688,1548288,1363968,807862272,1183744,1138688,5824512,3125248,1290240,2134016,2822144,3522560,9723904,1572864,2785280,1363968,1343488,1019904,85393408,1200128,2232320,3088384,1318912
3,856008,1044480,9023488,2789376,10027008,1372160,4497408,298754048,3051520,53116928,9895936,20074496,3010560,15278080,10063872,19910656,233439232,1019904,1277952,1273856,2592768,1466368,21983232,1060864,5726208,7544832,37765120,10141696,2338816,2494464,81547264,1708032,119554048,2707456,2789376,1003520,31543296,2785280,26341376,2789376,3571712,71401472,2781184,1470464,1658880,3518464,3043328,5951488,1519616,4952064,2314240,3719168,44601344,1650688,1548288,1363968,807862272,1183744,1138688,5824512,3125248,1290240,2134016,2822144,3522560,9723904,1572864,2785280,1363968,1343488,1019904,85393408,1200128,2232320,3088384,1318912
4,856008,1044480,9023488,2789376,10027008,1372160,4497408,298754048,3051520,53116928,9895936,20074496,3010560,15278080,10063872,19910656,233439232,1019904,1277952,1273856,2592768,1466368,21983232,1060864,5726208,7544832,37765120,10141696,2338816,2494464,81547264,1708032,119554048,2707456,2789376,1003520,31543296,2785280,26341376,2789376,3571712,71397376,2781184,1470464,1658880,3518464,3043328,5951488,1519616,4952064,2314240,3719168,44601344,1650688,1548288,1363968,807862272,1183744,1138688,5824512,3125248,1290240,2134016,2822144,3522560,9723904,1572864,2785280,1363968,1343488,1019904,85393408,1200128,2232320,3088384,1318912
5,856008,1044480,9023488,2789376,10027008,1372160,4497408,298754048,3051520,53116928,9895936,20074496,3010560,15278080,10063872,19910656,233439232,1019904,1277952,1273856,2592768,1466368,21983232,1060864,5726208,7544832,37765120,10141696,2338816,2494464,81547264,1708032,119554048,2707456,2789376,1003520,31543296,2785280,26341376,2789376,3571712,71393280,2781184,1470464,1658880,3518464,3076096,5951488,1519616,4952064,2314240,3719168,44601344,1650688,1548288,1363968,807862272,1183744,1138688,5824512,3125248,1290240,2134016,2822144,3522560,10223616,1572864,2785280,1363968,1343488,1019904,85393408,1200128,2232320,3088384,1318912
6,856008,1044480,9023488,2789376,10027008,1372160,4497408,298754048,3051520,53116928,9895936,20074496,3010560,15278080,10063872,19910656,233439232,1019904,1277952,1273856,2592768,1466368,21983232,1060864,5726208,7544832,37765120,10141696,2338816,2494464,81547264,1708032,119554048,2707456,2789376,1003520,31543296,2785280,26341376,2789376,3571712,71389184,2781184,1470464,1658880,3518464,3076096,5951488,1519616,4952064,2314240,3719168,44601344,1650688,1548288,1363968,807862272,1183744,1138688,5824512,3125248,1290240,2134016,2822144,3522560,10223616,1572864,2785280,1363968,1343488,1019904,85393408,1200128,2232320,3088384,1318912
7,856008,1044480,9023488,2789376,10027008,1372160,4497408,298754048,3051520,53116928,9895936,20074496,3010560,15278080,10063872,19910656,233439232,1019904,1277952,1273856,2592768,1466368,21983232,1060864,5726208,7544832,37765120,10141696,2338816,2494464,81547264,1708032,119554048,2707456,2789376,1003520,31543296,2785280,26341376,2789376,3571712,71385088,2781184,1470464,1658880,3518464,3076096,5951488,1519616,4952064,2314240,3719168,44601344,1650688,1548288,1363968,807862272,1183744,1138688,5824512,3125248,1290240,2134016,2822144,3522560,10223616,1572864,2785280,1363968,1343488,1019904,85393408,1200128,2232320,3088384,1318912
8,856008,1044480,9023488,2789376,10027008,1372160,4497408,298754048,3051520,53116928,9895936,20074496,3010560,15278080,10063872,19910656,233439232,1019904,1277952,1273856,2592768,1466368,21983232,1060864,5726208,7544832,37765120,10141696,2338816,2494464,81547264,1708032,119554048,2707456,2789376,1003520,31543296,2785280,26341376,2789376,3571712,71380992,2781184,1470464,1658880,3518464,3076096,5951488,1519616,4952064,2314240,3719168,44601344,1650688,1548288,1363968,807862272,1183744,1138688,5824512,3125248,1290240,2134016,2822144,3522560,10223616,1572864,2785280,1363968,1343488,1019904,85393408,1200128,2232320,3088384,1318912
9,856008,1044480,9023488,2789376,10027008,1372160,4497408,298754048,3051520,53116928,9895936,20074496,3010560,15278080,10063872,19910656,233439232,1019904,1277952,1273856,2592768,1466368,21983232,1060864,5726208,7544832,37765120,10141696,2338816,2494464,81547264,1708032,119554048,2707456,2789376,1003520,31543296,2785280,26341376,2789376,3571712,71376896,2781184,1470464,1658880,3518464,3076096,5951488,1519616,4952064,2314240,3719168,44601344,1650688,1548288,1363968,807862272,1183744,1138688,5824512,3125248,1290240,2134016,2822144,3522560,10223616,1572864,2785280,1363968,1343488,1019904,85393408,1200128,2232320,3088384,1318912
