S.No,Threads,Timers,FDs,Channels,IRQs
0,784,75,719,914,139
1,784,75,721,914,139
2,784,75,722,914,139
3,784,75,723,914,139
4,784,75,724,914,139
5,784,75,727,914,139
6,784,75,726,914,139
7,784,75,727,914,139
8,784,75,728,914,139
9,784,75,731,914,139
10,784,75,730,914,139
11,784,75,731,914,139
12,784,75,732,914,139
13,784,75,733,914,139
14,784,75,734,914,139
15,781,75,729,913,139
16,781,75,730,913,139
17,781,75,731,913,139
18,781,75,732,913,139
19,781,75,733,913,139
20,781,75,736,913,139
21,781,75,735,913,139
22,781,75,736,913,139
23,781,75,739,913,139
24,781,75,738,913,139
25,781,75,739,913,139
26,781,75,740,913,139
27,781,75,743,913,139
28,781,75,742,913,139
29,781,75,743,913,139
30,781,75,744,913,139
31,781,75,745,913,139
32,781,75,746,913,139
33,781,75,747,913,139
34,781,75,748,913,139
35,781,75,749,913,139
36,781,75,750,913,139
37,781,75,751,913,139
38,781,75,752,913,139
39,781,75,753,913,139
40,781,75,754,913,139
41,781,75,755,913,139
42,781,75,756,913,139
43,781,75,757,913,139
44,781,75,758,913,139
45,781,75,759,913,139
46,781,75,762,913,139
47,781,75,761,913,139
48,781,75,762,913,139
49,781,75,763,913,139
50,781,75,764,913,139
51,781,75,765,913,139
52,781,75,766,913,139
53,781,75,767,913,139
54,781,75,768,913,139
55,781,75,769,913,139
56,781,75,770,913,139
57,781,75,772,913,139
58,781,75,772,913,139
59,781,75,773,913,139
60,781,75,774,913,139
61,781,75,775,913,139
62,781,75,776,913,139
63,781,75,777,913,139
64,781,75,778,913,139
65,781,75,779,913,139
66,781,75,780,913,139
67,781,75,781,913,139
68,781,75,782,913,139
69,781,75,783,913,139
70,781,75,784,913,139
71,781,75,785,913,139
72,781,75,786,913,139
73,781,75,787,913,139
74,781,75,788,913,139
75,781,75,789,913,139
76,781,75,790,913,139
77,781,75,793,913,139
78,781,75,792,913,139
79,781,75,793,913,139
80,781,75,794,913,139
81,781,75,795,913,139
82,781,75,796,913,139
83,781,75,797,913,139
84,781,75,798,913,139
85,781,75,799,913,139
86,781,75,800,913,139
87,781,75,801,913,139
88,781,75,802,913,139
89,781,75,803,913,139
90,781,75,804,913,139
91,781,75,805,913,139
92,781,75,806,913,139
93,781,75,807,913,139
94,781,75,808,913,139
95,781,75,809,913,139
96,781,75,810,913,139
97,781,75,811,913,139
98,781,75,812,913,139
99,781,75,813,913,139
100,781,75,814,913,139
101,781,75,815,913,139
102,781,75,816,913,139
103,781,75,819,913,139
104,781,75,818,913,139
105,781,75,819,913,139
106,781,75,822,913,139
107,781,75,821,913,139
108,781,75,822,913,139
109,781,75,825,913,139
110,781,75,824,913,139
111,781,75,825,913,139
112,781,75,826,913,139
113,781,75,827,913,139
114,781,75,828,913,139
115,781,75,829,913,139
116,781,75,830,913,139
117,781,75,831,913,139
118,781,75,832,913,139
119,781,75,833,913,139
120,781,75,834,913,139
121,781,75,835,913,139
122,781,75,836,913,139
123,781,75,837,913,139
124,781,75,838,913,139
125,781,75,839,913,139
126,781,75,840,913,139
127,781,75,841,913,139
128,781,75,842,913,139
129,781,75,843,913,139
130,781,75,844,913,139
131,781,75,845,913,139
132,781,75,846,913,139
133,781,75,849,913,139
134,781,75,848,913,139
135,781,75,849,913,139
136,781,75,850,913,139
137,781,75,851,913,139
138,781,75,852,913,139
139,781,75,853,913,139
140,781,75,854,913,139
141,781,75,855,913,139
142,781,75,856,913,139
143,781,75,857,913,139
144,781,75,858,913,139
145,781,75,859,913,139
146,781,75,860,913,139
147,781,75,861,913,139
148,781,75,862,913,139
149,781,75,863,913,139
150,781,75,864,913,139
151,781,75,865,913,139
152,781,75,866,913,139
153,781,75,867,913,139
154,781,75,868,913,139
155,781,75,869,913,139
156,781,75,870,913,139
157,781,75,871,913,139
158,781,75,872,913,139
159,781,75,873,913,139
160,781,75,874,913,139
161,781,75,877,913,139
162,781,75,876,913,139
163,781,75,877,913,139
164,781,75,878,913,139
165,781,75,879,913,139
166,781,75,881,913,139
167,781,75,881,913,139
168,781,75,882,913,139
169,781,75,883,913,139
170,781,75,884,913,139
171,781,75,885,913,139
172,781,75,886,913,139
173,781,75,887,913,139
174,781,75,888,913,139
175,781,75,889,913,139
176,781,75,890,913,139
177,781,75,891,913,139
178,781,75,892,913,139
179,781,75,893,913,139
180,781,75,894,913,139
181,781,75,895,913,139
182,781,75,896,913,139
183,781,75,897,913,139
184,781,75,898,913,139
185,781,75,899,913,139
186,781,75,900,913,139
187,781,75,901,913,139
188,781,75,902,913,139
189,781,75,905,913,139
190,781,75,904,913,139
191,781,75,905,913,139
192,781,75,906,913,139
193,781,75,907,913,139
194,781,75,908,913,139
195,781,75,909,913,139
196,781,75,910,913,139
197,781,75,911,913,139
198,781,75,912,913,139
199,781,75,913,913,139
200,781,75,914,913,139
201,781,75,915,913,139
202,781,75,916,913,139
203,781,75,917,913,139
204,781,75,918,913,139
205,781,75,919,913,139
206,781,75,920,913,139
207,781,75,921,913,139
208,781,75,922,913,139
209,781,75,923,913,139
210,781,75,924,913,139
211,781,75,925,913,139
212,781,75,926,913,139
213,781,75,927,913,139
214,781,75,928,913,139
215,781,75,929,913,139
216,781,75,930,913,139
217,781,75,931,913,139
218,781,75,933,913,139
219,781,75,933,913,139
220,781,75,934,913,139
221,781,75,935,913,139
222,781,75,936,913,139
223,781,75,937,913,139
224,781,75,938,913,139
225,781,75,939,913,139
226,781,75,940,913,139
227,781,75,941,913,139
228,781,75,942,913,139
229,781,75,945,913,139
230,781,75,944,913,139
231,781,75,945,913,139
232,781,75,946,913,139
233,781,75,947,913,139
234,781,75,950,913,139
235,781,75,949,913,139
236,781,75,950,913,139
237,781,75,953,913,139
238,781,75,952,913,139
239,781,75,953,913,139
240,781,75,954,913,139
241,781,75,955,913,139
242,781,75,956,913,139
243,781,75,957,913,139
244,781,75,958,913,139
245,781,75,960,913,139
246,781,75,960,913,139
247,781,75,961,913,139
248,781,75,962,913,139
249,781,75,963,913,139
250,781,75,964,913,139
251,781,75,965,913,139
252,781,75,966,913,139
253,781,75,967,913,139
254,781,75,968,913,139
255,781,75,969,913,139
256,781,75,970,913,139
257,781,75,971,913,139
258,781,75,974,913,139
259,781,75,973,913,139
260,781,75,974,913,139
261,781,75,975,913,139
262,781,75,976,913,139
263,781,75,977,913,139
264,781,75,978,913,139
265,781,75,979,913,139
266,781,75,980,913,139
267,781,75,981,913,139
268,781,75,982,913,139
269,781,75,983,913,139
270,781,75,984,913,139
271,781,75,985,913,139
272,781,75,986,913,139
273,781,75,987,913,139
274,781,75,988,913,139
275,781,75,989,913,139
276,781,75,990,913,139
277,781,75,991,913,139
278,781,75,992,913,139
279,781,75,993,913,139
280,781,75,994,913,139
281,781,75,995,913,139
282,781,75,998,913,139
283,781,75,997,913,139
284,781,75,998,913,139
285,781,75,999,913,139
286,781,75,1000,913,139
287,781,75,1001,913,139
288,781,75,1002,913,139
289,781,75,1003,913,139
290,781,75,1004,913,139
291,781,75,1005,913,139
292,781,75,1006,913,139
293,781,75,1007,913,139
294,781,75,1008,913,139
295,781,75,1009,913,139
296,781,75,1010,913,139
297,781,75,1011,913,139
298,781,75,1012,913,139
299,781,75,1013,913,139
300,781,75,1014,913,139
301,781,75,1015,913,139
302,781,75,1016,913,139
303,781,75,1017,913,139
304,781,75,1018,913,139
305,781,75,1019,913,139
306,781,75,1020,913,139
307,781,75,1021,913,139
308,781,75,1022,913,139
309,781,75,1023,913,139
310,781,75,1024,913,139
311,781,75,1025,913,139
312,781,75,1026,913,139
313,781,75,1027,913,139
314,781,75,1028,913,139
315,781,75,1029,913,139
316,781,75,1030,913,139
317,781,75,1031,913,139
318,781,75,1032,913,139
319,781,75,1033,913,139
320,781,75,1034,913,139
321,781,75,1035,913,139
322,781,75,1037,913,139
323,781,75,1037,913,139
324,781,75,1038,913,139
325,781,75,1039,913,139
326,781,75,1040,913,139
327,781,75,1041,913,139
328,781,75,1044,913,139
329,781,75,1043,913,139
330,781,75,1044,913,139
331,781,75,1045,913,139
332,781,75,1046,913,139
333,781,75,1047,913,139
334,781,75,1048,913,139
335,781,75,1049,913,139
336,781,75,1050,913,139
337,781,75,1051,913,139
338,781,75,1052,913,139
339,781,75,1053,913,139
340,781,75,1054,913,139
341,781,75,1055,913,139
342,781,75,1056,913,139
343,781,75,1057,913,139
344,781,75,1058,913,139
345,781,75,1059,913,139
346,781,75,1060,913,139
347,781,75,1061,913,139
348,781,75,1062,913,139
349,781,75,1063,913,139
350,781,75,1064,913,139
351,781,75,1065,913,139
352,781,75,1066,913,139
353,781,75,1067,913,139
354,781,75,1068,913,139
355,781,75,1069,913,139
356,781,75,1070,913,139
357,781,75,1071,913,139
358,781,75,1072,913,139
359,781,75,1073,913,139
360,781,75,1074,913,139
361,781,75,1075,913,139
362,781,75,1076,913,139
363,781,75,1077,913,139
364,781,75,1078,913,139
365,781,75,1079,913,139
366,781,75,1080,913,139
367,781,75,1081,913,139
368,781,75,1082,913,139
369,781,75,1083,913,139
370,781,75,1084,913,139
371,781,75,1085,913,139
372,780,75,1082,912,139
373,780,75,1083,912,139
374,0,0,0,0,0
375,0,0,0,0,0
