Merge Key,File,﻿CID,Last Triage Comment
949e18839e8a5d33813c1d9228e95b38,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_MMC_4P45_MY24_COV.csv","15292323
15292323","These warnings are of Speculative execution data leak type.
Since UI core components are not handling with any secret data, we can deviate this.
As per core team input, ignoring these warning as these can be deviated.
Mail dated 20th October 2022"
d034e7f00da3dbdd319d38642c44b0c4,TRIAGED_VIEW_HONDA_MKRG_COV.csv,15292322,"These warnings are of Speculative execution data leak type.
Since UI core components are not handling with any secret data, we can deviate this."
7cbf7af0631921fa7e089a1b8ddecdb6,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_MMC_4P45_MY24_COV.csv","15292319
15292319","These warnings are of Speculative execution data leak type.
Since UI core components are not handling with any secret data, we can deviate this.
As per core team input, ignoring these warning as these can be deviated.
Mail dated 20th October 2022"
0619c99100f986699a2e7a48a56735a2,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_MMC_4P45_MY24_COV.csv","15292318
15292318","These warnings are of Speculative execution data leak type.
Since UI core components are not handling with any secret data, we can deviate this.
As per core team input, ignoring these warning as these can be deviated.
Mail dated 20th October 2022"
9d77a22002280219e1036264fdf63ec7,TRIAGED_VIEW_HONDA_MKRG_COV.csv,15292316,"These warnings are of Speculative execution data leak type.
Since UI core components are not handling with any secret data, we can deviate this."
b5181f03d9bcb458045572d6c35c24b7,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_MMC_4P45_MY24_COV.csv","15292315
15292315","These warnings are of Speculative execution data leak type.
Since UI core components are not handling with any secret data, we can deviate this.
As per core team input, ignoring these warning as these can be deviated.
Mail dated 20th October 2022"
e99bfd47280ae0e44fff7bdaa73a32cb,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7451976
19709887","
hmi_gfx_anim_engine_set_frame calling places, we are checking for the valid anim id , so no issue"
c947d903d85fa7fcec558ef3e2f9b2b4,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421653
10750738
19622295","
valid menu id will be passed from the calling functions, so no issue in indexing using it 

menu id is validated and passed in the calling places, so no issue"
0e3edd218a658e09843d1f0c17fda721,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421646
10749783
19374807","
valid layer id will be indexed here, since logic state is valided, so no issue in indexing lc_lsh_dpm_config_SA which is autogenerated

fl_state_conf_SP-.layer id is referenced from autogenerated code which will be less than configured LSH_NUMBER_OF_LAYERS , so no issue"
7fef0b5006c2c7c726ee15e1af462fd6,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421645
10750147
19400868","
valid message id will be returned from  function, so no issue in indexing using it 

seq_FindFirstIndex will return a valid index to index in queue, so no issue"
35b989f86dd8bd86dc7a494ca0a9efcf,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421634
10750727
19400823","
valid message id will be passed from calling function, so no issue in indexing using it 

"
c0a3b9115d53031cb7af89ef110d8f87,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421625
10749588
19622236","
valid menu id will be passed from the calling functions, so no issue in indexing using it 

menu_id < TOTAL_MENU_ID check is done before calling this function so no issue"
6c8024ed3c785995f16c635e8b3144ef,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421621
10978577
19400867","

as per the if check i <= endIndex, a valid entry will be returned, so no issue in indexing the messageList with a valid index"
7429525ab94998c093b01ebbe6d84850,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421615
10750880
19622325","
menu id is validated and passed from the calling function, so no impact
Menu id is autogenerated, so no issue"
48cdf47f2495416abf2062a92a7f15ee,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421611
10750488
19374809","
layer id is validated , so no issue in indexing using it. also logic state is also validated. 
fl_state_conf_SP-.layer id is referenced from autogenerated code which will be less than configured LSH_NUMBER_OF_LAYERS , so no issue"
25fa8e741153255de8172b732e23b398,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421603
10749593
19622234","
valid menu id will be passed from the calling functions, so no issue in indexing using it 

hmi_menu_logic_get_menu_inst_no will be called in this flow before reaching this function which validates menu id < number of menus, so no issue"
2513a1c479722cd25edce7a943553045,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421599
10749953
19400819","
valid message id will be passed from calling function, so no issue in indexing using it 

seq_FindActiveMessage wil be called only if there is any other active message alone, hence the seq_categories will always have a valid message. indexing using that id will not cause any issue"
b18aafad9df2321b7ccebb04272fde2b,TRIAGED_VIEW_HONDA_MKRG_COV.csv,7421561,
9bf00ae88030871b68a3243f8a58fcf9,"TRIAGED_VIEW_HONDA_MKRG_COV.csv
TRIAGED_VIEW_RE_KCLUSTER_COV.csv
TRIAGED_VIEW_TOYOTA_38XD_COV.csv","7421557
10749777
19374779","
valid layer id will be indexed here, since logic state is valided, so no issue in indexing lc_lsh_dpm_config_SA which is autogenerated

fl_state_conf_SP-.layer id is referenced from autogenerated code which will be less than configured LSH_NUMBER_OF_LAYERS , so no issue"
